target,pred,data
-0.67,-0.7292834164412194,ai
-0.67,-0.6797722888555817,ai
-0.67,-0.6816899091300441,ai
-0.66,-0.66222147705451,ai
-0.66,-0.7037495156957174,ai
-0.66,-0.6626841199193375,ai
-0.66,-0.6667947140187119,ai
-0.66,-0.6857252833239056,ai
-0.66,-0.6563360709060607,ai
-0.66,-0.6667605506195065,ai
-0.65,-0.6513270943348163,ai
-0.65,-0.6690371277141433,ai
-0.65,-0.6490058741193705,ai
-0.65,-0.6820276135671249,ai
-0.65,-0.6702891215255784,ai
-0.65,-0.6537758451300099,ai
-0.65,-0.6687177269181894,ai
-0.64,-0.6051729613574144,ai
-0.64,-0.6415146562702652,ai
-0.64,-0.6646110704579801,ai
-0.64,-0.6638511103496635,ai
-0.64,-0.6669219334691548,ai
-0.64,-0.6523327578416129,ai
-0.64,-0.6459907753259099,ai
-0.63,-0.6383695351456353,ai
-0.63,-0.6292943049528125,ai
-0.63,-0.6391988555520506,ai
-0.63,-0.659484353960211,ai
-0.63,-0.650044016378699,ai
-0.63,-0.6424934813343168,ai
-0.63,-0.6600284112497032,ai
-0.62,-0.6230050783800136,ai
-0.62,-0.6261330073331317,ai
-0.62,-0.640514198674918,ai
-0.62,-0.6197777328432361,ai
-0.62,-0.6311911660595915,ai
-0.62,-0.6208550619817071,ai
-0.62,-0.6294375518099157,ai
-0.61,-0.641363322840506,ai
-0.61,-0.6161410231082126,ai
-0.61,-0.6167576455310757,ai
-0.61,-0.6225258682399233,ai
-0.61,-0.6099045180316576,ai
-0.61,-0.6117455378060865,ai
-0.61,-0.6311050017303291,ai
-0.6,-0.6190045497213007,ai
-0.6,-0.6038043455718712,ai
-0.6,-0.611949200843767,ai
-0.6,-0.6296396295064943,ai
-0.6,-0.6853076319122161,ai
-0.6,-0.6102164406032389,ai
-0.6,-0.6136686325396713,ai
-0.59,-0.590841492459367,ai
-0.59,-0.6026008932515757,ai
-0.59,-0.6008759626899388,ai
-0.59,-0.605476119793375,ai
-0.59,-0.5962470265965608,ai
-0.59,-0.6026584878212894,ai
-0.59,-0.5965233815246982,ai
-0.58,-0.5892003328351517,ai
-0.58,-0.5755095993448502,ai
-0.58,-0.5853312184208176,ai
-0.58,-0.5797666634675538,ai
-0.58,-0.6158547935833854,ai
-0.58,-0.5800678633085488,ai
-0.58,-0.5890465238797872,ai
-0.57,-0.6037669098485857,ai
-0.57,-0.6076991012648374,ai
-0.57,-0.5825229543960785,ai
-0.57,-0.5823927880152108,ai
-0.57,-0.5690953280966211,ai
-0.57,-0.6466011151777962,ai
-0.57,-0.617593913642652,ai
-0.56,-0.570738077100198,ai
-0.56,-0.5668288304970058,ai
-0.56,-0.5744964248789525,ai
-0.56,-0.5677268648013911,ai
-0.56,-0.5759140072376032,ai
-0.56,-0.5601990803494625,ai
-0.56,-0.6435972110246753,ai
-0.55,-0.5701581802312607,ai
-0.55,-0.5512659379222188,ai
-0.55,-0.5615970312593632,ai
-0.55,-0.5651959390426908,ai
-0.55,-0.5551249930364827,ai
-0.55,-0.5570936901275273,ai
-0.55,-0.5655842877828943,ai
-0.54,-0.551252492085516,ai
-0.54,-0.5460975257677614,ai
-0.54,-0.5310639201593075,ai
-0.54,-0.5626925002015364,ai
-0.54,-0.5442779209820217,ai
-0.54,-0.5452981660454435,ai
-0.54,-0.6334076866427607,ai
-0.53,-0.5530658116657983,ai
-0.53,-0.5364817971189931,ai
-0.53,-0.5510028875920547,ai
-0.53,-0.5495426372044889,ai
-0.53,-0.5355174189171006,ai
-0.53,-0.5134706038929902,ai
-0.53,-0.5410517962722167,ai
-0.52,-0.6642328712732252,ai
-0.52,-0.5295640612637175,ai
-0.52,-0.524648080776191,ai
-0.52,-0.5409005319643393,ai
-0.52,-0.5219381089474796,ai
-0.52,-0.533846098251643,ai
-0.52,-0.5480018334989174,ai
-0.51,-0.5207381781199986,ai
-0.51,-0.525022477557688,ai
-0.51,-0.5369820125036172,ai
-0.51,-0.5180687718395638,ai
-0.51,-0.5143888251810697,ai
-0.51,-0.5101121720976102,ai
-0.51,-0.5095834611937764,ai
-0.5,-0.5233350374688324,ai
-0.5,-0.5272330546635497,ai
-0.5,-0.5072805181778712,ai
-0.5,-0.6153354257994429,ai
-0.5,-0.5090886539994705,ai
-0.5,-0.5004927939499357,ai
-0.5,-0.5071020799971695,ai
-0.49,-0.4968678096524348,ai
-0.49,-0.5250002467898012,ai
-0.49,-0.4903794518413036,ai
-0.49,-0.48328118031775935,ai
-0.49,-0.503667288118194,ai
-0.49,-0.4893566707953768,ai
-0.49,-0.5059937056741336,ai
-0.48,-0.49884372528902704,ai
-0.48,-0.48734879098939904,ai
-0.48,-0.4747712168942928,ai
-0.48,-0.48062457917263657,ai
-0.48,-0.48626579150499494,ai
-0.48,-0.5253810189325151,ai
-0.48,-0.4823044869454827,ai
-0.47,-0.49258317860844975,ai
-0.47,-0.48318595438550865,ai
-0.47,-0.4695161957945985,ai
-0.47,-0.4877865975361608,ai
-0.47,-0.4754768511939353,ai
-0.47,-0.48529639583330164,ai
-0.47,-0.4964845692955996,ai
-0.46,-0.478026810976114,ai
-0.46,-0.4911522224769143,ai
-0.46,-0.48344117868250913,ai
-0.46,-0.48902751481336304,ai
-0.46,-0.4643619459518314,ai
-0.46,-0.45766935168280154,ai
-0.46,-0.48371079853772553,ai
-0.45,-0.456571537760394,ai
-0.45,-0.44876314692728764,ai
-0.45,-0.45291004846359745,ai
