number,value,datetime_start,datetime_complete,duration,blocks,kernel_size,learning_rate,modelSeed,optimizer,padding,stride,user_attrs_datatype,user_attrs_transform,state,inner_fold,outer_fold
17,0.216841757,2023-07-01 03:36:38.531919,2023-07-01 03:41:09.942323,0 days 00:04:31.410404,4,7,0.0853,67,SGD,4,2,,transform_padding,COMPLETE,2,0
18,0.551763892,2023-07-01 03:41:09.942323,2023-07-01 03:42:28.678394,0 days 00:01:18.736071,5,3,0.0143,88,SGD,2,6,,transform_padding,COMPLETE,2,0
19,0.285686851,2023-07-01 03:42:28.678394,2023-07-01 03:44:22.362661,0 days 00:01:53.684267,3,5,0.0371,67,RMSprop,6,4,,transform_padding,COMPLETE,2,0
20,0.30058521,2023-07-01 03:44:22.362661,2023-07-01 03:47:26.555469,0 days 00:03:04.192808,5,7,0.0023,100,SGD,4,2,,transform_padding,COMPLETE,2,0
21,0.218105674,2023-07-01 03:47:26.555469,2023-07-01 03:52:07.147905,0 days 00:04:40.592436,4,7,0.0123,99,SGD,4,2,,transform_padding,COMPLETE,2,0
22,0.217086375,2023-07-01 03:52:07.147905,2023-07-01 03:57:13.068477,0 days 00:05:05.920572,4,7,0.0111,86,SGD,4,2,,transform_padding,COMPLETE,2,0
23,0.212282106,2023-07-01 03:57:13.069478,2023-07-01 04:02:18.719867,0 days 00:05:05.650389,4,7,0.0411,100,SGD,4,2,,transform_padding,COMPLETE,2,0
24,0.212525517,2023-07-01 04:02:18.719867,2023-07-01 04:07:24.528575,0 days 00:05:05.808708,4,7,0.0299,72,SGD,4,2,,transform_padding,COMPLETE,2,0
25,0.209563255,2023-07-01 04:07:24.528575,2023-07-01 04:11:13.546090,0 days 00:03:49.017515,4,7,0.0423,85,SGD,4,2,,transform_padding,COMPLETE,2,0
26,0.212515205,2023-07-01 04:11:13.546090,2023-07-01 04:14:11.976303,0 days 00:02:58.430213,4,7,0.0922,60,SGD,4,2,,transform_padding,COMPLETE,2,0
27,0.443088025,2023-07-01 04:14:11.976303,2023-07-01 04:15:53.394748,0 days 00:01:41.418445,3,3,0.051,85,Adam,6,4,,transform_padding,COMPLETE,2,0
28,0.190915987,2023-07-01 04:15:53.394748,2023-07-01 04:19:18.367134,0 days 00:03:24.972386,4,5,0.0236,3,RMSprop,2,2,,transform_padding,COMPLETE,2,0
29,0.482505798,2023-07-01 04:19:18.367134,2023-07-01 04:20:40.556224,0 days 00:01:22.189090,4,5,0.0537,3,RMSprop,2,6,,transform_padding,COMPLETE,2,0
30,0.447088659,2023-07-01 04:20:40.556224,2023-07-01 04:24:05.278474,0 days 00:03:24.722250,4,5,0.0518,18,RMSprop,2,2,,transform_padding,COMPLETE,2,0
31,0.208112508,2023-07-01 04:24:05.278474,2023-07-01 04:27:21.145951,0 days 00:03:15.867477,4,5,0.021,41,RMSprop,2,2,,transform_padding,COMPLETE,2,0
32,0.185814902,2023-07-01 04:27:21.145951,2023-07-01 04:30:31.898854,0 days 00:03:10.752903,4,5,0.0238,24,RMSprop,2,2,,transform_padding,COMPLETE,2,0
33,0.196929991,2023-07-01 04:30:31.898854,2023-07-01 04:33:43.035121,0 days 00:03:11.136267,4,5,0.0059,20,RMSprop,2,2,,transform_padding,COMPLETE,2,0
34,0.170370698,2023-07-01 04:33:43.035121,2023-07-01 04:36:16.551245,0 days 00:02:33.516124,4,5,0.0066,15,RMSprop,2,2,,transform_padding,COMPLETE,2,0
35,0.201868385,2023-07-01 04:36:16.551245,2023-07-01 04:38:38.527323,0 days 00:02:21.976078,4,5,0.0067,17,RMSprop,2,2,,transform_padding,COMPLETE,2,0
