datatype,transform,modelSeed,learning_rate,optimizer_name,blocks,padding,stride,kernel_size,real_best_mae_epoch,real_best_mae,tbdir
,transform_padding,68,0.0153079789131822,SGD,4,4,2,7,28,0.1618085354566574,
,transform_padding,84,0.0326852446562814,SGD,4,4,2,7,23,0.150285929441452,
,transform_padding,89,0.049624259553013,SGD,4,4,2,7,24,0.1398070454597473,
,transform_padding,6,0.0560179565546443,SGD,4,4,2,7,25,0.1506606340408325,
,transform_padding,93,0.0993513810194266,Adam,4,2,4,3,5,0.5381299257278442,
,transform_padding,61,0.0103268574037461,RMSprop,3,4,2,5,29,0.1721623837947845,
,transform_padding,17,0.0476884538080522,SGD,4,6,6,7,3,0.3702359199523926,
,transform_padding,73,0.0616210203838959,Adam,5,4,2,7,0,0.5466442704200745,
,transform_padding,84,0.0210658223445084,SGD,4,4,2,7,26,0.1477862298488617,
,transform_padding,83,0.0199594973246832,SGD,4,4,2,7,29,0.1517145633697509,
,transform_padding,91,0.0573144088908608,SGD,4,4,2,7,16,0.148105576634407,
,transform_padding,100,0.020827182493952,SGD,4,4,2,7,26,0.1522779762744903,
,transform_padding,83,0.0596573902559023,SGD,5,2,2,7,22,0.1564061641693115,
,transform_padding,43,0.0092735973084364,RMSprop,4,4,6,7,11,0.2861752510070801,
,transform_padding,92,0.0200852935643568,Adam,5,4,2,7,1,0.5451647639274597,
,transform_padding,59,0.056033267521617,SGD,3,4,2,7,6,0.1933441162109375,
,transform_padding,71,0.0063266989119187,RMSprop,4,2,4,3,4,0.3621551990509033,
,transform_padding,95,0.0224253777176382,SGD,5,6,2,7,26,0.1631249636411667,
,transform_padding,90,0.0529173370426654,SGD,4,4,2,7,23,0.1568314880132675,
,transform_padding,38,0.063512210106407,Adam,5,4,2,7,19,0.5464342832565308,
,transform_padding,97,0.0171233759731639,SGD,5,4,2,7,29,0.1672521531581878,
,transform_padding,78,0.0572790447079962,SGD,4,4,2,7,13,0.1513437628746032,
,transform_padding,8,0.0886232650857624,Adam,3,2,4,3,29,0.2954262793064117,
,transform_padding,33,0.0082875223637681,RMSprop,5,4,2,7,29,0.5425481796264648,
,transform_padding,32,0.0010821382910613,Adam,3,6,6,7,20,0.2495190948247909,
,transform_padding,54,0.016973078532467,Adam,5,2,2,5,29,0.5158054828643799,
,transform_padding,52,0.0064874770660586,RMSprop,4,6,2,3,29,0.1811286211013794,
,transform_padding,49,0.0876197110102369,SGD,4,4,4,7,13,0.2379400730133056,
,transform_padding,94,2.0708485661206484e-05,SGD,4,4,4,5,1,0.4288920164108276,
,transform_padding,99,0.0136939864723756,SGD,4,4,2,7,29,0.1578293591737747,
,transform_padding,76,0.0030070162326071,SGD,4,4,2,7,28,0.1857688128948211,
