datatype,transform,modelSeed,learning_rate,optimizer_name,blocks,padding,stride,kernel_size,val_best_mae_epoch,val_best_mae,real_best_mae_epoch,real_best_mae,tbdir
pearson,transform_padding,80,0.0022073586476372,RMSprop,4,6,6,5,25,0.0450894795358181,18,0.4254496097564697,
pearson,transform_padding,4,0.0112919962857139,SGD,3,4,4,7,29,0.0643043518066406,22,0.3200085759162903,
pearson,transform_padding,62,0.0953599600399456,SGD,4,4,4,7,29,0.039787046611309,25,0.2928734719753265,
pearson,transform_padding,62,0.0453812859817933,SGD,4,4,4,7,29,0.0510223321616649,25,0.3099313378334045,
pearson,transform_padding,88,0.0965831882686831,SGD,4,4,4,7,27,0.0397565811872482,26,0.2985982298851013,
pearson,transform_padding,44,0.0305028862542546,SGD,4,4,4,7,29,0.0624761879444122,23,0.3021992146968841,
pearson,transform_padding,21,0.0444731933926834,SGD,4,4,2,7,27,0.0231609642505645,23,0.284390389919281,
pearson,transform_padding,16,0.0441028865005759,SGD,4,4,2,7,24,0.0240888129919767,29,0.2842288613319397,
pearson,transform_padding,19,0.0412414639749628,Adam,4,2,2,3,29,0.0285679399967193,29,0.3285120725631714,
pearson,transform_padding,18,0.0129799688369258,RMSprop,3,4,2,5,27,0.0216333419084548,28,0.2871455550193786,
pearson,transform_padding,19,0.0476884538080522,SGD,4,6,2,7,27,0.0239112824201583,23,0.2898231446743011,
pearson,transform_padding,25,0.0102189491973999,Adam,5,4,2,7,27,0.0330897457897663,28,0.3298684954643249,
pearson,transform_padding,11,0.0141667220079873,RMSprop,3,4,2,5,29,0.0219859387725591,18,0.3020501732826233,
pearson,transform_padding,16,0.0448708909335405,RMSprop,3,4,2,5,29,0.8846861124038696,22,0.5025717616081238,
pearson,transform_padding,27,0.0200145495920685,RMSprop,3,4,2,5,27,0.023460280150175,28,0.297768235206604,
pearson,transform_padding,40,0.0578632447775048,RMSprop,3,4,2,5,29,0.988635241985321,9,0.5101220011711121,
pearson,transform_padding,2,0.0225048910585069,RMSprop,5,2,2,7,26,0.9912144541740416,2,0.5025995969772339,
pearson,transform_padding,10,0.0130101849046975,RMSprop,3,4,2,5,27,0.0240618102252483,22,0.3066001832485199,
pearson,transform_padding,33,0.0072444680660574,Adam,5,4,2,7,29,0.0341473296284675,26,0.3637760877609253,
pearson,transform_padding,27,0.0528605183191378,SGD,3,4,2,7,23,0.0243778210133314,25,0.3057526350021362,
pearson,transform_padding,22,0.0219558917767574,RMSprop,4,2,6,3,28,0.9873892664909364,19,0.5198436975479126,
pearson,transform_padding,13,0.014142516627122,SGD,5,6,2,5,25,0.0484511628746986,29,0.3374988734722137,
pearson,transform_padding,100,0.0673480442002865,SGD,4,4,2,7,27,0.0205088257789611,24,0.2889637351036072,
random_pearson,transform_padding,38,0.063512210106407,Adam,5,4,2,7,29,0.9737733602523804,2,0.5142481923103333,
random_pearson,transform_padding,97,0.0171233759731639,SGD,5,4,2,7,29,0.1261142194271087,25,0.1954556256532669,
random_pearson,transform_padding,78,0.0572790447079962,SGD,4,4,2,7,29,0.050725445151329,25,0.1493930369615554,
random_pearson,transform_padding,8,0.0886232650857624,Adam,3,2,4,3,27,0.1317240595817566,8,0.3359962701797485,
random_pearson,transform_padding,33,0.0082875223637681,RMSprop,5,4,2,7,28,0.0797880142927169,29,0.1857556700706482,
random_pearson,transform_padding,32,0.0010821382910613,Adam,3,6,6,7,29,0.0739185214042663,10,0.2498991191387176,
random_pearson,transform_padding,54,0.016973078532467,Adam,5,2,2,5,28,0.0646481662988662,22,0.1588131189346313,
random_pearson,transform_padding,52,0.0064874770660586,RMSprop,4,6,2,3,28,0.0561315715312957,16,0.2029221355915069,
random_pearson,transform_padding,49,0.0876197110102369,SGD,4,4,4,7,26,0.1192062199115753,25,0.2122054398059845,
random_pearson,transform_padding,94,2.0708485661206484e-05,SGD,4,4,4,5,25,0.7011677622795105,15,0.4245240092277527,
random_pearson,transform_padding,75,0.0164214949363695,Adam,4,2,2,5,28,0.0548193268477916,28,0.1454229801893234,
